date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1/1/1993,Ghana,Mali,1,1,Friendly,Libreville,Gabon,TRUE
1/2/1993,Gabon,Burkina Faso,1,1,Friendly,Libreville,Gabon,FALSE
1/2/1993,Kuwait,Lebanon,2,0,Friendly,Kuwait City,Kuwait,FALSE
1/3/1993,Burkina Faso,Mali,1,0,Friendly,Libreville,Gabon,TRUE
1/3/1993,Gabon,Ghana,2,3,Friendly,Libreville,Gabon,FALSE
1/8/1993,Uganda,Tanzania,3,1,Friendly,Kampala,Uganda,FALSE
1/9/1993,Sierra Leone,Togo,0,0,African Cup of Nations qualification,Conakry,Guinea,TRUE
1/10/1993,Angola,Zimbabwe,1,1,FIFA World Cup qualification,Luanda,Angola,FALSE
1/10/1993,Botswana,South Africa,0,2,Friendly,Gaborone,Botswana,FALSE
1/10/1993,Congo DR,Cameroon,1,2,FIFA World Cup qualification,Kinshasa,Zaïre,FALSE
1/10/1993,Senegal,Algeria,1,2,African Cup of Nations qualification,Dakar,Senegal,FALSE
1/10/1993,Tunisia,Bulgaria,3,0,Friendly,Béja,Tunisia,FALSE
1/10/1993,Uganda,Tanzania,2,0,Friendly,Kampala,Uganda,FALSE
1/16/1993,South Africa,Nigeria,0,0,FIFA World Cup qualification,Johannesburg,South Africa,FALSE
1/16/1993,Tanzania,Zambia,1,3,FIFA World Cup qualification,Mwanza,Tanzania,FALSE
1/17/1993,Benin,Tunisia,0,5,FIFA World Cup qualification,Cotonou,Benin,FALSE
1/17/1993,Botswana,Ivory Coast,0,0,FIFA World Cup qualification,Gaborone,Botswana,FALSE
1/17/1993,Burundi,Algeria,0,0,FIFA World Cup qualification,Bujumbura,Burundi,FALSE
1/17/1993,Ethiopia,Morocco,0,1,FIFA World Cup qualification,Addis Abeba,Ethiopia,FALSE
1/17/1993,Mozambique,Gabon,1,1,FIFA World Cup qualification,Maputo,Mozambique,FALSE
1/17/1993,Namibia,Madagascar,0,1,FIFA World Cup qualification,Windhoek,Namibia,FALSE
1/17/1993,Swaziland,Cameroon,0,0,FIFA World Cup qualification,Mbabane,Swaziland,FALSE
1/17/1993,Togo,Zimbabwe,1,2,FIFA World Cup qualification,Lomé,Togo,FALSE
1/18/1993,Angola,Egypt,0,0,FIFA World Cup qualification,Luanda,Angola,FALSE
1/19/1993,Korea DPR,Bolivia,2,1,Nehru Cup,Madras,India,TRUE
1/20/1993,Guinea-Bissau,Guinea,2,1,Friendly,Bissau,Guinea-Bissau,FALSE
1/20/1993,India,Finland,0,0,Nehru Cup,Madras,India,FALSE
1/20/1993,Italy,Mexico,2,0,Friendly,Florence,Italy,FALSE
1/22/1993,Cameroon,Finland,0,0,Nehru Cup,Madras,India,TRUE
1/23/1993,Ghana,Niger,4,0,Friendly,Kumasi,Ghana,FALSE
1/23/1993,Guinea-Bissau,Algeria,1,4,African Cup of Nations qualification,Bissau,Guinea-Bissau,FALSE
1/23/1993,Venezuela,Peru,0,0,Friendly,Puerto Ordaz,Venezuela,FALSE
1/24/1993,India,Cameroon,1,1,Nehru Cup,Madras,India,FALSE
1/24/1993,Malta,Portugal,0,1,FIFA World Cup qualification,Attard,Malta,FALSE
1/24/1993,Togo,Senegal,1,1,African Cup of Nations qualification,Lomé,Togo,FALSE
1/25/1993,Bolivia,Russia,1,2,Nehru Cup,Madras,India,TRUE
1/26/1993,India,Finland,0,2,Nehru Cup,Madras,India,FALSE
1/27/1993,Ecuador,Belarus,1,1,Friendly,Guayaquil,Ecuador,FALSE
1/27/1993,Peru,Honduras,1,1,Friendly,Lima,Peru,FALSE
1/27/1993,Spain,Mexico,1,1,Friendly,Las Palmas,Spain,FALSE
1/28/1993,Cameroon,Finland,2,0,Nehru Cup,Madras,India,TRUE
1/29/1993,Bolivia,Honduras,3,1,Friendly,Cochabamba,Bolivia,FALSE
1/30/1993,India,Cameroon,2,2,Nehru Cup,Madras,India,FALSE
1/30/1993,Peru,Belarus,1,1,Friendly,Lima,Peru,FALSE
1/30/1993,Senegal,Mozambique,6,1,FIFA World Cup qualification,Dakar,Senegal,FALSE
1/30/1993,USA,Denmark,2,2,Friendly,Tempe,USA,FALSE
1/30/1993,Zambia,Namibia,4,0,FIFA World Cup qualification,Lusaka,Zambia,FALSE
1/31/1993,Congo,South Africa,0,1,FIFA World Cup qualification,Pointe-Noire,Congo,FALSE
1/31/1993,Ecuador,Romania,3,0,Friendly,Guayaquil,Ecuador,FALSE
1/31/1993,Egypt,Togo,3,0,FIFA World Cup qualification,Cairo,Egypt,FALSE
1/31/1993,Ghana,Burundi,1,0,FIFA World Cup qualification,Kumasi,Ghana,FALSE
1/31/1993,Ivory Coast,Niger,1,0,FIFA World Cup qualification,Abidjan,Ivory Coast,FALSE
1/31/1993,Korea DPR,Finland,3,2,Nehru Cup,Madras,India,TRUE
1/31/1993,Morocco,Benin,5,0,FIFA World Cup qualification,Rabat,Morocco,FALSE
1/31/1993,Tunisia,Ethiopia,3,0,FIFA World Cup qualification,Tunis,Tunisia,FALSE
1/31/1993,Zimbabwe,Angola,2,1,FIFA World Cup qualification,Harare,Zimbabwe,FALSE
2/1/1993,Cyprus,Poland,0,0,Friendly,Nicosia,Cyprus,FALSE
2/3/1993,Israel,Poland,0,0,Friendly,Ramat-Gan,Israel,FALSE
2/3/1993,Peru,Romania,0,2,Friendly,Lima,Peru,FALSE
2/5/1993,Malaysia,Singapore,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,FALSE
2/6/1993,Ghana,Indonesia,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,TRUE
2/6/1993,USA,Romania,1,1,Friendly,Santa Barbara,USA,FALSE
2/7/1993,Malaysia,Thailand,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,FALSE
2/8/1993,Korea Republic,Indonesia,3,0,Merdeka Tournament,Kuala Lumpur,Malaysia,TRUE
2/9/1993,Singapore,Thailand,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,TRUE
2/10/1993,Ghana,Korea Republic,1,3,Merdeka Tournament,Kuala Lumpur,Malaysia,TRUE
2/10/1993,Mexico,Romania,0,2,Friendly,Monterrey,Mexico,FALSE
2/10/1993,Portugal,Norway,1,1,Friendly,Faro,Portugal,FALSE
2/10/1993,Thailand,China,1,0,King's Cup,Bangkok,Thailand,FALSE
2/13/1993,Cyprus,Belgium,0,3,FIFA World Cup qualification,Nicosia,Cyprus,FALSE
2/13/1993,USA,Russia,0,1,Friendly,Orlando,USA,FALSE
2/14/1993,Malaysia,Korea Republic,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,FALSE
2/16/1993,Costa Rica,Nicaragua,6,0,UNCAF Cup,San José,Costa Rica,FALSE
2/16/1993,Thailand,China,0,4,King's Cup,Bangkok,Thailand,FALSE
2/17/1993,Albania,Northern Ireland,1,2,FIFA World Cup qualification,Tirana,Albania,FALSE
2/17/1993,El Salvador,Russia,1,2,Friendly,Pasadena,USA,TRUE
2/17/1993,England,San Marino,6,0,FIFA World Cup qualification,London,England,FALSE
2/17/1993,Greece,Luxembourg,2,0,FIFA World Cup qualification,Athens,Greece,FALSE
2/17/1993,Ireland,Wales,2,1,Friendly,Dublin,Ireland,FALSE
2/17/1993,Israel,France,0,4,FIFA World Cup qualification,Ramat-Gan,Israel,FALSE
2/17/1993,Scotland,Malta,3,0,FIFA World Cup qualification,Glasgow,Scotland,FALSE
2/18/1993,Argentina,Brazil,1,1,Friendly,Buenos Aires,Argentina,FALSE
2/18/1993,United Arab Emirates,Bulgaria,1,0,Friendly,Dubai,United Arab Emirates,FALSE
2/19/1993,Costa Rica,Nicaragua,2,0,UNCAF Cup,San José,Costa Rica,FALSE
